target_id	pval	qval	test_stat	rss	degrees_free	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
ENST00000394723	0.0087619752331423	0.269376498440556	6.87071166268731	28.3618216517839	1	1.11342978114521	2.02584440369885	0.760914180734583	1.26493022296427	1.11594260293856	1.26493022296427
ENST00000474114	0.00878436616254839	0.269376498440556	6.86615075176647	22.4219871999383	1	1.25184803978573	1.60157051428131	1.13938101903905	0.462189495242259	1.06865781099086	1.06865781099086
ENST00000513780	0.00870953469774123	0.269376498440556	6.88144037541643	26.7460906657283	1	1.52618158354714	1.91043504755202	1.27803587604542	0.632399171506604	0.990735598728028	0.990735598728028
ENST00000558314	0.00877382441609281	0.269376498440556	6.86829656410868	28.7804851218749	1	3.92462701290581	2.05574893727678	0.0804128707213731	1.97533606655541	0.349859101118948	1.97533606655541
ENST00000609360	0.00878472883695171	0.269376498440556	6.86607697493126	49.7115873583694	1	1.52969371419705	3.55082766845495	1.49840908099875	2.0524185874562	0.989873764759925	2.0524185874562
ENST00000685801	0.00875405095989516	0.269376498440556	6.87232865299448	104.913802078711	1	2.53746438900816	7.4938430056222	2.1564061050221	5.33743690060011	0.871725369027639	5.33743690060011
ENST00000272317	0.00886772907955407	0.269732624541864	6.84927418629688	10.6360076247103	1	4.97000932307965	0.75971483033645	0.0727908322764397	0.68692399806001	0.158306574266894	0.68692399806001
ENST00000273541	0.00891778959931163	0.269732624541864	6.83921746152014	24.5605443484349	1	1.77341597283131	1.75432459631678	0.631654434656756	1.12267016166002	0.936706453957883	1.12267016166002
ENST00000306739	0.00891146680357108	0.269732624541864	6.84048446311257	29.0715802921928	1	2.04548839473546	2.07654144944234	0.812437836189008	1.26410361325334	0.905808584585117	1.26410361325334
ENST00000319836	0.00899387152913725	0.269732624541864	6.82404339716224	16.1975279974273	1	3.08716644763118	1.15696628553052	0.0527112070606927	1.10425507846983	0.717087358482571	1.10425507846983
ENST00000349394	0.00894843726427529	0.269732624541864	6.83308909383531	25.083705727926	1	1.89513138491513	1.79169326628043	0.202896307566747	1.58879695871368	0.91704721350971	1.58879695871368
ENST00000367467	0.00898600311707357	0.269732624541864	6.82560659768904	2.46793566572095	1	5.20563817193625	0.176281118980068	0.00900669154308684	0.167274427436981	0.137826050437248	0.167274427436981
ENST00000409477	0.00881803927680464	0.269732624541864	6.85931407773253	26.7265483420686	1	1.16652393564745	1.90903916729061	0.900144038993757	1.00889512829685	1.09714126096024	1.09714126096024
ENST00000413171	0.00898024795427036	0.269732624541864	6.82675085117291	23.4286218645502	1	3.80700064177716	1.67347299032502	0.85341223131967	0.820060759005347	0.390441152235456	0.820060759005347
ENST00000451743	0.00900968671656629	0.269732624541864	6.82090565900864	49.0773554396376	1	1.50762420086022	3.50552538854554	0.823165387069969	2.68236000147557	0.995345781389386	2.68236000147557
ENST00000484713	0.00885295703894159	0.269732624541864	6.8522528691107	48.0573699021782	1	1.48850033328498	3.43266927872702	0.559816208218913	2.8728530705081	1.00019626833293	2.8728530705081
ENST00000555574	0.00894542754293363	0.269732624541864	6.83368997140467	19.5787718363677	1	0.896768396070167	1.39848370259769	0.32284082620621	1.07564287639148	1.20204240930954	1.20204240930954
ENST00000683887	0.00899357352771292	0.269732624541864	6.82410257495009	17.8463565184442	1	2.88529021047882	1.27473975131744	0.402033642884853	0.872706108432587	0.787408175904634	0.872706108432587
